#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
2153;J1837-0604;10.384841;462.00;
2154;J1837-0653;0.524712;316.10;
2155;J1837-0822;0.909756;506.00;
2156;J1837+1221;0.509286;100.60;
2157;J1837-1243;0.533044;300.00;
2158;J1837-1837;1.617187;100.74;
2159;J1838+0022g;196.463654;122.60;
2160;J1838+0027g;18.474044;205.90;
2161;J1838+0044g;0.453891;229.60;
2162;J1838-01;5.455692;320.40;
2163;J1838-0107;2.250095;268.90;
2164;J1838-0453;2.625598;617.20;
2165;J1838-0537;6.863053;*;
2166;J1838-0549;4.249688;276.60;
2167;J1838-0624;1.078542;424.00;
2168;J1838-0655;14.184750;*;
2169;J1838-1046;0.820780;209.30;
2170;J1838+1523;1.820961;68.26;
2171;J1838+1650;0.525771;32.95;
2172;J1838-1849;2.048165;169.90;
2173;J1838+50;0.388014;21.81;
2174;J1839-0141;1.071506;293.20;
2175;J1839-0223;0.789397;330.00;
2176;J1839-0321;4.187917;450.50;
2177;J1839-0332;0.373736;195.10;
2178;J1839-0402;1.919608;236.60;
2179;J1839-0436;6.690724;292.70;
2180;J1839-0459;1.708470;237.00;
2181;J1839-0627;2.062223;92.49;
2182;J1839-0643;2.224456;493.50;
2183;J1839-0905;2.386778;344.50;
2184;J1839-1238;0.523169;169.80;
2185;J1840+0012g;187.265918;100.90;
2186;J1840+0214;1.253953;182.40;
2187;J1840-0445;2.367893;379.00;
2188;J1840-0559;1.163645;319.10;
2189;J1840-0626;0.528164;748.00;
2190;J1840-0643;28.107357;494.00;
2191;J1840-0753;2.283788;691.00;
2192;J1840-0809;1.046383;349.80;
2193;J1840-0815;0.912042;233.20;
2194;J1840-0840;0.188346;285.20;
2195;J1840-1122;1.062743;311.00;
2196;J1840-1207;1.325433;290.90;
2197;J1840-1419;0.151571;19.40;
2198;J1840+5640;0.605011;26.77;
2199;J1841+0130;33.587732;125.88;
2200;J1841-0157;1.507565;475.00;
2201;J1841-0310;0.603261;216.00;
2202;J1841-0345;4.900325;194.32;
2203;J1841-04;*;29.00;
2204;J1841-0425;5.372045;325.49;
2205;J1841-0456;0.084825;*;
2206;J1841-0500;1.095391;532.00;
2207;J1841-0524;2.243415;284.50;
2208;J1841+0912;2.622474;49.16;
2209;J1841-1404;0.749312;267.00;
2210;J1841-7845;2.828034;41.00;
2211;J1842-0153;0.948561;427.20;
2212;J1842+0257;0.323807;146.00;
2213;J1842-0309;2.469626;955.00;
2214;J1842+0358;4.285845;109.90;
2215;J1842-0359;0.543495;195.98;
2216;J1842-0415;1.898678;183.78;
2217;J1842-0612;1.771556;485.00;
2218;J1842+0638;3.194721;212.20;
2219;J1842-0800;0.796515;188.60;
2220;J1842-0905;2.901528;343.40;
2221;J1842+1332;2.120425;102.50;
2222;J1842-27;1.226589;62.00;
2223;J1842-39;2.673797;47.60;
2224;J1843-0000;1.135932;101.80;
2225;J1843-0050;1.277794;507.00;
2226;J1843+0119;0.789267;252.10;
2227;J1843-0137;1.492822;486.00;
2228;J1843-0211;0.493212;441.70;
2229;J1843-0355;7.557781;797.70;
2230;J1843-0408;1.278881;246.00;
2231;J1843-0459;1.324568;444.10;
2232;J1843-0510;1.488951;257.00;
2233;J1843-0702;5.218810;228.60;
2234;J1843-0744;2.103525;321.00;
2235;J1843-0806;1.864233;215.80;
2236;J1843-1113;541.809745;59.96;
2237;J1843-1448;182.770888;114.51;
2238;J1843-1507;1.713648;215.50;
2239;J1843+2024;0.293553;85.30;
2240;J1843-40;3.084639;66.00;
2241;J1844+00;2.171539;346.60;
2242;J1844+0028g;280.112045;181.20;
2243;J1844-0030;1.559824;603.20;
2244;J1844+0115;238.917573;148.22;
2245;J1844-0244;1.969581;422.13;
2246;J1844-0256;3.663500;826.00;
2247;J1844-03;0.143446;*;
2248;J1844-0302;0.834286;533.00;
2249;J1844-0310;1.904584;836.10;
2250;J1844-0346;8.860955;*;
2251;J1844-0433;1.009055;123.16;
2252;J1844-0452;3.711356;626.00;
2253;J1844-0502;2.983627;318.00;
2254;J1844-0538;3.910769;411.71;
2255;J1844+1454;2.663376;41.49;
2256;J1844+41;1.092061;50.00;
2257;J1845-0028g;11.834320;301.00;
2258;J1845-0316;4.816127;500.00;
2259;J1845-0434;2.054439;230.80;
2260;J1845-0545;0.915459;315.90;
2261;J1845+0623;0.703406;113.00;
2262;J1845-0635;2.936619;414.00;
2263;J1845-0743;9.551586;280.93;
2264;J1845-0826;1.576406;228.20;
2265;J1845-1114;4.849191;206.70;
2266;J1845-1351;0.381837;197.40;
2267;J1846+0051;2.302170;140.00;
2268;J1846-0257;0.223378;237.00;
2269;J1846-0258;3.062119;*;
2270;J1846-0749;2.856249;389.13;
2271;J1846-07492;1.160928;190.80;
2272;J1846+0919;4.433578;*;
2273;J1846-4249;0.439947;62.00;
2274;J1846-7403;0.204967;97.00;
2275;J1847+01;288.761036;20.10;
2276;J1847+0110g;153.139357;183.40;
2277;J1847-0130;0.149097;667.00;
2278;J1847+0133g;0.351258;193.80;
2279;J1847-0402;1.672776;141.98;
2280;J1847-0427;3.857331;188.30;
2281;J1847-0438;1.043851;229.00;
2282;J1847-0443;2.933996;454.90;
2283;J1847-0605;1.285076;207.90;
2284;J1847+0614g;0.601316;270.50;
2285;J1848-0023;1.860037;34.90;
2286;J1848-0055;3.642235;1166.00;
2287;J1848-0123;1.516456;159.10;
2288;J1848+0127g;1.872589;77.00;
2289;J1848+0150g;0.303938;500.80;
2290;J1848+0351;5.223496;336.60;
2291;J1848-0511;0.610825;418.00;
2292;J1848-0601;4.444356;496.60;
2293;J1848+0604;0.450734;242.70;
2294;J1848+0647;1.976454;27.90;
2295;J1848+0826;3.042614;90.68;
2296;J1848-1150;0.762068;163.40;
2297;J1848+12;1.324977;139.00;
2298;J1848-1243;2.413224;91.96;
2299;J1848-1414;3.358302;134.47;
2300;J1848+1516;0.447674;77.44;
2301;J1848-1952;0.232116;18.23;
2302;J1849-0001;25.958797;*;
2303;J1849+0001g;1.902588;189.40;
2304;J1849+0009g;0.758409;501.50;
2305;J1849-0014g;2.033719;346.60;
2306;J1849+0016g;552.486188;271.40;
2307;J1849-0019g;1.097249;513.20;
2308;J1849+0037g;2.522132;611.50;
2309;J1849-0040;1.487032;1267.60;
2310;J1849+0106;0.545774;216.24;
2311;J1849+0127;1.844489;207.30;
2312;J1849+0225g;0.678187;259.90;
2313;J1849-0317;1.496093;40.00;
2314;J1849+0339g;0.599981;349.50;
2315;J1849+0409;1.313725;63.97;
2316;J1849+0430;2.374587;191.00;
2317;J1849-0614;1.048895;118.20;
2318;J1849-0636;0.689028;148.17;
2319;J1849+2423;3.627901;62.27;
2320;J1849+2559;1.925805;75.00;
2321;J1850-0002g;1.119370;543.90;
2322;J1850-0006;0.456309;655.00;
2323;J1850+0011g;5.968724;506.50;
2324;J1850-0020g;0.635086;605.40;
2325;J1850+0026;0.924348;201.20;
2326;J1850-0026;6.001179;947.00;
2327;J1850-0031;1.362055;895.00;
2328;J1850+0124;280.917517;118.89;
2329;J1850+0242;223.221060;540.07;
2330;J1850+0423;3.439781;265.80;
2331;J1850+1335;2.893670;60.14;
2332;J1850+15;0.722562;24.70;
2333;J1851+00;43.770068;107.60;
2334;J1851-0029;1.927817;510.00;
2335;J1851-0053;0.709690;24.00;
2336;J1851+0056g;3.435246;332.30;
2337;J1851-0114;1.049118;427.20;
2338;J1851+0118;1.102564;418.00;
2339;J1851+0233;2.906822;606.00;
2340;J1851+0241;0.222652;524.30;
2341;J1851-0241;2.297827;515.00;
2342;J1851+0418;3.512500;115.54;
2343;J1851-0633;0.520751;229.10;
2344;J1851+1259;0.829667;70.63;
2345;J1852-0000;0.520653;593.00;
2346;J1852-0002g;4.079967;558.10;
2347;J1852+0008;2.137236;254.90;
2348;J1852+0013;1.044113;545.00;
2349;J1852+0018g;3.137156;452.00;
2350;J1852-0024g;2.813335;290.00;
2351;J1852+0031;0.458675;787.00;
2352;J1852+0033;0.086515;*;
2353;J1852-0033g;0.730444;320.70;
2354;J1852-0039g;1.245470;361.70;
2355;J1852+0040;9.531743;*;
2356;J1852-0044g;414.937759;272.90;
2357;J1852-0055g;6.096446;211.70;
2358;J1852+0056g;0.849048;905.70;
2359;J1852-0118;2.214973;286.00;
2360;J1852-0127;2.331117;427.90;
2361;J1852+0158g;5.384160;607.50;
2362;J1852+0305;0.754063;320.00;
2363;J1852+0309g;179.211470;358.00;
2364;J1852-0635;1.907826;173.90;
2365;J1852+0857g;0.265102;85.90;
2366;J1852-13;232.018561;*;
2367;J1852-2610;2.973207;56.81;
2368;J1853-0003g;5.830224;667.20;
2369;J1853-0004;9.858326;437.50;
2370;J1853-0008g;354.609929;285.30;
2371;J1853+0009;29.944547;192.40;
2372;J1853+0011;2.513261;568.80;
2373;J1853+0013g;1.076971;312.40;
2374;J1853+0023g;1.733523;203.30;
2375;J1853+0029;0.532834;232.00;
2376;J1853+0056;3.628742;180.90;
2377;J1853+0237g;2.339783;725.50;
2378;J1853+0259;1.707788;292.40;
2379;J1853+0312g;2.282636;345.00;
2380;J1853+04;0.757218;549.30;
2381;J1853+0427;0.757198;550.00;
2382;J1853+0505;1.104805;279.00;
2383;J1853+0545;7.911372;197.91;
2384;J1853-0649;0.954078;44.54;
2385;J1853-0842A;465.238972;155.12;
2386;J1853+0853;0.255450;236.60;
2387;J1853+1303;244.391378;30.57;
2388;J1854+0012g;369.003690;204.10;
2389;J1854-0033g;2.766481;617.50;
2390;J1854+0050;1.303306;529.20;
2391;J1854+0131g;0.489273;474.90;
2392;J1854+0306;0.219403;192.40;
2393;J1854+0317;0.731824;390.00;
2394;J1854+0319;1.590987;480.20;
2395;J1854-0524;1.838165;192.00;
2396;J1854+0704g;2.217787;10.80;
2397;J1854+1050;1.744601;207.20;
2398;J1854-1421;0.872148;130.40;
2399;J1854-1557;0.289593;150.00;
2400;J1854+36;0.769101;59.80;
2401;J1855+0139g;2.251542;405.60;
2402;J1855+0205;4.051589;867.30;
2403;J1855+0228g;3.949915;530.00;
2404;J1855+0235g;1.017263;103.30;
2405;J1855+0306;0.612158;627.00;
2406;J1855+0307;1.182945;402.50;
2407;J1855+0327g;1.277433;298.60;
2408;J1855+0339g;0.567750;416.20;
2409;J1855+0422;0.595910;455.60;
2410;J1855+0424g;0.450400;678.50;
2411;J1855+0455g;9.900010;372.90;
2412;J1855+0511g;0.703497;307.50;
2413;J1855+0527;0.717626;362.00;
2414;J1855+0626;1.890959;253.80;
2415;J1855+0700;3.865711;244.00;
2416;J1855-0941;2.895184;153.60;
2417;J1855-1436;278.234418;109.20;
2418;J1856+0011g;1.077041;455.80;
2419;J1856+0102;1.612339;554.00;
2420;J1856+0113;3.739162;96.10;
2421;J1856+0211g;0.101111;113.90;
2422;J1856+0243g;1.829491;178.30;
2423;J1856+0245;12.359917;623.50;
2424;J1856+0404;2.379524;341.30;
2425;J1856-0526;2.699176;131.80;
2426;J1856+0615g;3.058385;333.10;
2427;J1856+0912;0.460681;191.40;
2428;J1856-3754;0.141739;*;
2429;J1857+0057;2.801678;82.39;
2430;J1857+0143;7.155120;249.40;
2431;J1857+0210;1.584829;783.00;
2432;J1857+0212;2.404869;506.77;
2433;J1857+0214g;2.994998;986.30;
2434;J1857+0224g;1.141618;401.00;
2435;J1857+0300;1.294200;691.00;
2436;J1857+0526;2.857541;464.79;
2437;J1857+0809;1.988373;282.00;
2438;J1857+0943;186.494078;13.30;
2439;J1857-1027;0.271207;108.90;
2440;J1858-0024g;2.496256;190.00;
2441;J1858+0026g;0.212104;415.30;
2442;J1858+0215;1.340792;702.00;
2443;J1858+0239;5.059597;492.71;
2444;J1858+0241;0.213073;336.00;
2445;J1858+0244g;383.141762;282.60;
2446;J1858+0310g;2.682763;699.50;
2447;J1858+0319;1.152812;284.00;
2448;J1858+0346;3.893417;386.00;
2449;J1858+0609g;2.064623;381.50;
2450;J1858-0736;1.814689;194.00;
2451;J1858-2216;419.460817;26.63;
2452;J1858-5422;423.728814;*;
2453;J1859+00;1.786875;423.00;
2454;J1859+0026g;116.686114;334.10;
2455;J1859+0126g;1.044168;531.70;
2456;J1859+0239g;17.822135;250.90;
2457;J1859+0313g;621.118012;107.70;
2458;J1859+0345;0.661591;558.70;
2459;J1859+0430g;2.973624;783.80;
2460;J1859+0434g;2.181786;320.10;
2461;J1859+0601;0.957568;272.40;
2462;J1859+0603;1.966332;378.60;
2463;J1859+0658g;195.694716;290.40;
2464;J1859+07;*;303.00;
2465;J1859+1526;1.070696;97.45;
2466;J1859+7654;0.717500;47.25;
2467;J1900-0051;2.596094;136.80;
2468;J1900-0134;0.545753;178.10;
2469;J1900+0213g;31.162356;310.50;
2470;J1900+0227;2.671928;201.10;
2471;J1900+0308;203.697558;249.90;
2472;J1900+0405g;13.815971;634.40;
2473;J1900+0438;3.201902;627.00;
2474;J1900+0634;2.564963;323.40;
2475;J1900+0715g;1.030460;266.10;
2476;J1900-0933;0.702302;162.70;
2477;J1900-2600;1.633429;37.99;
2478;J1900+30;1.660503;71.84;
2479;J1900-7951;0.781743;39.00;
2480;J1901+00;1.285906;340.30;
2481;J1901+0020g;4.655277;237.60;
2482;J1901+0124;3.136593;314.40;
2483;J1901-0125;358.422939;70.40;
2484;J1901+0156;3.469582;105.39;
2485;J1901+0234;1.129637;404.00;
2486;J1901+0254;0.769412;185.00;
2487;J1901+0300;128.258137;253.89;
2488;J1901-0312;2.811159;106.60;
2489;J1901-0315;1.247360;242.60;
2490;J1901+0315g;1.219780;410.50;
2491;J1901+0320;1.570883;393.00;
2492;J1901+0331;1.525669;402.08;
2493;J1901+0355;1.802593;547.00;
2494;J1901+0413;0.375505;352.00;
2495;J1901+0435;1.448066;920.00;
2496;J1901+0459;1.140194;1108.00;
2497;J1901+0510;1.626660;429.00;
2498;J1901+0511;0.217374;410.00;
2499;J1901+0621;1.201920;94.00;
2500;J1901+0659g;13.204807;126.20;
2501;J1901+0712g;0.963660;332.40;
2502;J1901+0716;1.552798;252.81;
2503;J1901-0906;0.561190;72.68;
2504;J1901+1306;0.546192;75.10;
2505;J1901-1740;0.511023;24.40;
2506;J1902+0235;2.407352;280.49;
2507;J1902+0248;0.817142;272.00;
2508;J1902-0340;0.655879;114.00;
2509;J1902+0556;1.339446;177.49;
2510;J1902+0615;1.484769;502.90;
2511;J1902+0723;2.049967;105.00;
2512;J1902+0809g;5.256794;436.90;
2513;J1902-1036;1.270949;96.30;
2514;J1902+1141;2.444150;269.12;
2515;J1902-5105;573.921045;36.25;
2516;J1903+0135;1.371165;245.17;
2517;J1903-0258;3.317203;114.10;
2518;J1903+0327;465.135238;297.52;
2519;J1903+0415;0.868509;481.90;
2520;J1903+0433g;0.071175;202.60;
2521;J1903+0534g;2.796030;407.70;
2522;J1903+0601;2.672960;388.00;
2523;J1903-0632;2.315408;195.61;
2524;J1903+0654;1.263851;329.00;
2525;J1903+0839g;216.450216;166.50;
2526;J1903+0845g;6.529973;129.10;
2527;J1903-0848;1.126983;66.99;
2528;J1903+0851g;0.811708;78.90;
2529;J1903+0912;6.012706;362.80;
2530;J1903+0925;2.799906;162.00;
2531;J1903+2225;1.535661;109.20;
2532;J1903-7051;277.940062;19.66;
2533;J1904+0004;7.167191;233.61;
2534;J1904+0056;2.282639;127.00;
2535;J1904-0150;2.635830;162.20;
2536;J1904+0207g;198.412698;229.90;
2537;J1904+0358g;1.330601;532.00;
2538;J1904+0412;14.065707;185.90;
2539;J1904+0415g;4.320588;521.00;
2540;J1904+0451;164.139791;182.71;
2541;J1904+0519g;0.595050;80.80;
2542;J1904+0535g;1.656287;78.40;
2543;J1904+0553g;203.665988;164.20;
2544;J1904+0603g;0.506347;413.20;
2545;J1904+0738;4.785643;278.32;
2546;J1904+0800;3.797304;438.80;
2547;J1904+0823g;0.663249;60.40;
2548;J1904+0836g;225.225225;90.50;
2549;J1904+0852g;161.550889;195.10;
2550;J1904+1011;0.538628;135.00;
2551;J1904-11;381.679389;97.70;
2552;J1904-1224;1.331898;118.23;
2553;J1904-1629;0.648756;145.00;
2554;J1904+33;2.398082;81.04;
2555;J1905-0056;1.554767;229.13;
2556;J1905+0154A;313.190897;193.69;
2557;J1905+0400;264.242346;25.69;
2558;J1905+0414;*;383.00;
2559;J1905+0450g;1.276650;442.30;
2560;J1905+0600;2.266496;730.10;
2561;J1905+0616;1.010401;256.05;
2562;J1905+0656g;0.398145;23.00;
2563;J1905+0709;1.543114;245.34;
2564;J1905+0758g;0.838392;200.70;
2565;J1905+0902;4.581840;433.40;
2566;J1905+0920g;5.866135;396.60;
2567;J1905+0936g;0.611804;414.00;
2568;J1905+1034;0.579102;164.00;
2569;J1906+0055;358.480447;126.83;
2570;J1906+0414;0.958440;349.00;
2571;J1906+0454;480.012672;142.79;
2572;J1906+0509;2.515156;99.50;
2573;J1906+0641;3.741465;472.80;
2574;J1906+0646g;2.812781;290.50;
2575;J1906+0649;0.777264;249.00;
2576;J1906+0722;8.966669;*;
2577;J1906+0724;0.650834;476.40;
2578;J1906+0746;6.940918;217.75;
2579;J1906+0757g;17.485574;79.00;
2580;J1906+0822g;2.307124;367.90;
2581;J1906+0912;1.289749;265.00;
2582;J1906+1854;0.981265;156.77;
2583;J1907+0249;2.841882;261.00;
2584;J1907+0255;1.616134;257.00;
2585;J1907+0345;4.164008;311.70;
2586;J1907+0534;0.878424;524.00;
2587;J1907+0602;9.377982;82.10;
2588;J1907+0631;3.089776;429.40;
2589;J1907+0658g;4.580013;523.00;
2590;J1907+0709g;2.906132;278.10;
2591;J1907+0731;2.749698;239.80;
2592;J1907+0740;1.740044;332.00;
2593;J1907+0833;5.965605;511.68;
2594;J1907+0859;0.654861;190.00;
2595;J1907+0918;4.422683;357.80;
2596;J1907+0919;0.192369;*;
2597;J1907+1149;0.704146;202.80;
2598;J1907+1247;1.209047;257.00;
2599;J1907-1532;1.581690;72.60;
2600;J1907+4002;0.809220;30.97;
2601;J1907+57;2.358491;54.63;
2602;J1908+0457;1.180926;360.00;
2603;J1908+0500;3.436181;201.42;
2604;J1908+0558;5.928471;457.70;
2605;J1908+0734;4.709147;11.10;
2606;J1908+0811g;5.505395;300.10;
2607;J1908+0833;1.952703;700.10;
2608;J1908+0839;5.393823;512.10;
2609;J1908+0909;2.971286;467.50;
2610;J1908+0916;1.204428;249.80;
2611;J1908+0949g;110.497238;220.30;
2612;J1908+1035g;93.545370;10.90;
2613;J1908+1351;0.314977;180.59;
2614;J1908+2105;389.955880;61.91;
2615;J1908+2351;2.648459;101.69;
2616;J1909+0007;0.983334;112.79;
2617;J1909+0254;1.010273;171.73;
2618;J1909+0616;1.322764;352.00;
2619;J1909+0641;1.348141;36.70;
2620;J1909+0657g;0.802639;59.90;
2621;J1909+0749;4.216540;539.36;
2622;J1909+0905g;0.668950;250.60;
2623;J1909+0912;4.485325;421.50;
2624;J1909+0930g;0.494858;479.60;
2625;J1909+1102;3.525570;149.98;
2626;J1909+1132g;147.058824;276.10;
2627;J1909+1148;2.227442;199.80;
2628;J1909+1205;0.813463;302.50;
2629;J1909+1450;1.003907;119.50;
2630;J1909+1859;1.843484;64.52;
2631;J1909-3744;339.315687;10.39;
2632;J1910-0112;0.734968;178.00;
2633;J1910+0225;2.959851;209.00;
2634;J1910-0309;1.981744;205.53;
2635;J1910+0358;0.429136;82.93;
2636;J1910+0435;1.504485;297.00;
2637;J1910+0517;3.246248;300.00;
2638;J1910+0534;2.208152;484.00;
2639;J1910-0556;1.793371;88.30;
2640;J1910+0710;1.856504;254.10;
2641;J1910+0714;0.368674;124.06;
2642;J1910+0728;3.072996;283.70;
2643;J1910+1017;2.432150;633.83;
2644;J1910+1026;1.881492;712.80;
2645;J1910+1054g;258.397933;139.40;
2646;J1910+1117g;0.756704;296.50;
2647;J1910+1231;0.693606;258.64;
2648;J1910+1256;200.658805;38.07;
2649;J1910+56;2.924832;20.75;
2650;J1910-5959A;306.167446;33.70;
2651;J1910-5959B;119.648733;33.28;
2652;J1910-5959C;189.489871;33.21;
2653;J1910-5959D;110.677192;33.28;
2654;J1910-5959E;218.733858;33.31;
2655;J1910-5959F;117.848178;33.20;
2656;J1911+00;0.144092;100.00;
2657;J1911+0101A;276.355755;202.68;
2658;J1911+0101B;185.724277;196.69;
2659;J1911+0751g;1.254847;220.70;
2660;J1911+0921;3.653545;340.10;
2661;J1911+0925;3.087777;486.60;
2662;J1911+0939g;2.736203;597.30;
2663;J1911+1051;5.239090;445.21;
2664;J1911-1114;275.805338;30.97;
2665;J1911+1252g;36.710720;68.80;
2666;J1911+1301;0.989647;389.00;
2667;J1911+1336;3.333422;323.95;
2668;J1911+1347;216.171231;30.99;
2669;J1911+1758;2.171997;48.98;
2670;J1912+0934g;1.114243;143.80;
2671;J1912+1036;2.442900;147.00;
2672;J1912+1105g;1.490957;150.40;
2673;J1912+1417g;315.457413;66.60;
2674;J1912+2104;0.447834;88.60;
2675;J1912+2525;1.607778;37.85;
2676;J1913-0440;1.210748;89.39;
2677;J1913+0446;0.618762;109.10;
2678;J1913+0523;1.510580;333.60;
2679;J1913+0618;198.931292;155.99;
2680;J1913+0657;0.795430;142.00;
2681;J1913+0832;7.439978;355.20;
2682;J1913+0904;6.125732;95.30;
2683;J1913+0936;0.805176;157.00;
2684;J1913+1000;1.194532;422.00;
2685;J1913+1011;27.848472;178.80;
2686;J1913+1037g;2.303033;437.00;
2687;J1913+1050;5.261300;231.10;
2688;J1913+1054g;2.219165;338.00;
2689;J1913+1102;36.650165;338.96;
2690;J1913+11025;1.082401;626.00;
2691;J1913+1145;3.267241;642.00;
2692;J1913+1330;1.082964;175.64;
2693;J1913+1400;1.917646;145.05;
2694;J1913+3732;1.174979;72.33;
2695;J1914+0219;2.185665;236.00;
2696;J1914+0625;1.137800;204.33;
2697;J1914+0631;1.441314;58.00;
2698;J1914+0659;54.019533;225.30;
2699;J1914+0805;2.195393;344.40;
2700;J1914+0838;2.272521;290.70;
2701;J1914+1029g;0.402416;59.70;
2702;J1914+1054g;7.200979;418.70;
2703;J1914+1122;1.663900;100.00;
2704;J1914+1228g;0.439068;312.00;
2705;J1914+1428;0.862426;220.90;
2706;J1915+0227;3.151530;191.90;
2707;J1915+0639;1.552457;212.32;
2708;J1915+0738;0.648212;39.00;
2709;J1915+0752;0.485835;105.30;
2710;J1915+0832g;0.368991;36.20;
2711;J1915+0838;2.917350;358.00;
2712;J1915+1009;2.471872;241.69;
2713;J1915-11;0.459348;91.06;
2714;J1915+1145;5.758803;337.78;
2715;J1915+1150;9.995906;699.83;
2716;J1915+1410;3.361411;273.70;
2717;J1915+1606;16.940538;168.77;
2718;J1915+1647;0.618723;62.57;
2719;J1916+0741g;89.126560;220.10;
2720;J1916+0748;1.845863;304.00;
2721;J1916+0748g;1.152193;153.10;
2722;J1916+0844;2.272752;338.01;
2723;J1916+0852;0.458139;295.00;
2724;J1916+0951;3.700217;60.95;
2725;J1916+1023;0.617918;341.80;
2726;J1916+1030;1.589902;387.20;
2727;J1916+1030g;2.862213;519.70;
2728;J1916+1225;4.397779;265.31;
2729;J1916+1312;3.548050;237.01;
2730;J1916-2939;0.800886;38.34;
2731;J1916+3224;0.879160;84.11;
2732;J1917+0743g;1.229302;199.50;
2733;J1917+0834;0.469557;29.18;
2734;J1917+1046g;11.398609;163.10;
2735;J1917+1121g;1.959593;303.50;
2736;J1917+1259g;177.619893;117.00;
2737;J1917+1353;5.137928;94.54;
2738;J1917+1411g;2.239842;123.40;
2739;J1917+1737;2.987525;208.00;
2740;J1917+2224;2.347984;134.75;
2741;J1918-0642;130.789516;26.58;
2742;J1918-1052;1.252046;62.73;
2743;J1918+1311;1.167203;244.50;
2744;J1918+1340g;4.292030;575.90;
2745;J1918+1444;0.846723;27.20;
2746;J1918+1536g;9.095043;123.70;
2747;J1918+1540g;233.644860;271.20;
2748;J1918+1541;2.696268;11.50;
2749;J1918+1547g;265.957447;64.60;
2750;J1919+0021;0.786003;90.31;
2751;J1919+0134;0.623448;191.90;
2752;J1919+1314;1.750088;613.40;
2753;J1919+1527g;0.729150;697.50;
2754;J1919+1645;1.776862;208.00;
2755;J1919+1745;0.480459;142.30;
2756;J1919+23;215.982721;*;
2757;J1919+2621;1.534891;96.50;
2758;J1920-0950;0.963555;93.00;
2759;J1920+1040;0.451304;304.00;
2760;J1920+1110;1.961223;188.40;
2761;J1920+1515g;0.623924;655.50;
2762;J1920+2650;1.273039;27.71;
2763;J1921+0137;400.581353;104.92;
2764;J1921-05;0.448916;80.70;
2765;J1921-0510;1.259043;96.60;
2766;J1921+0812;4.747247;84.00;
2767;J1921+0921;1.778403;139.50;
2768;J1921+1259g;1.744714;366.30;
2769;J1921+1340g;0.217252;754.90;
2770;J1921+1419;1.617645;91.64;
2771;J1921+1505g;1.634254;519.90;
2772;J1921+1544;6.964968;385.00;
2773;J1921+1630;1.067865;194.40;
2774;J1921+1929;377.880186;64.76;
2775;J1921+1948;1.217975;153.85;
2776;J1921+2003;1.314611;101.00;
2777;J1921+2153;0.747774;12.44;
2778;J1922+1131;1.779124;335.00;
2779;J1922+1733;4.234222;238.00;
2780;J1922+2018;0.852687;203.31;
2781;J1922+2110;0.927709;217.09;
2782;J1922+58;1.888136;53.74;
2783;J1923-0408;0.870118;35.00;
2784;J1923+1143g;2.693893;260.60;
2785;J1923+1521g;0.953507;346.00;
2786;J1923+1706;1.827455;142.50;
2787;J1923+2022g;26.322717;175.30;
2788;J1923+2515;263.980714;18.86;
2789;J1923+4243;1.680128;52.99;
2790;J1924+1343g;174.825175;98.50;
2791;J1924+1509g;4.167535;296.60;
2792;J1924+1510g;2.005495;115.60;
2793;J1924+1628;2.666082;541.70;
2794;J1924+1631;0.340694;518.50;
2795;J1924+1639;6.327395;208.00;
2796;J1924+1713;1.318508;536.80;
2797;J1924+1917;0.782508;320.30;
2798;J1924+1923g;1.450873;386.70;
2799;J1924+1932g;2.571620;280.30;
2800;J1924+2027g;512.820513;211.70;
2801;J1924+2037g;1.460280;82.30;
2802;J1924+2040;4.205389;226.60;
2803;J1925+1532g;0.604193;145.90;
2804;J1925-16;0.257347;88.00;
2805;J1925+1629g;243.309002;214.10;
2806;J1925+1636g;20.116677;33.10;
2807;J1925+1720;13.217200;222.30;
2808;J1925+19;0.521825;328.00;
2809;J1926+0431;0.931029;102.24;
2810;J1926-0652;0.621575;85.30;
2811;J1926+0737;3.144041;159.00;
2812;J1926-1314;0.205580;40.83;
2813;J1926+1434;0.754761;211.41;
2814;J1926+1452g;3.283964;298.10;
2815;J1926+1614;3.243532;24.02;
2816;J1926+1631g;1.474078;195.10;
2817;J1926+1648;1.724665;176.88;
2818;J1926+1857g;3.587701;424.20;
2819;J1926+1928;0.742935;445.00;
2820;J1926+2016;3.343679;247.00;
2821;J1927+0911;3.444650;202.70;
2822;J1927+1430g;4.929022;207.20;
2823;J1927+1852;2.071396;264.50;
2824;J1927+1856;3.352178;99.00;
2825;J1927+2234;0.698780;186.50;
2826;J1928-0108;0.422705;125.80;
2827;J1928+1245;330.949795;179.23;
2828;J1928+1443;0.989375;101.00;
2829;J1928+15;2.481390;242.00;
2830;J1928+1725;3.450199;135.96;
2831;J1928+1746;14.549601;176.68;
2832;J1928+1809g;3.396047;431.10;
2833;J1928+1816g;94.876660;346.30;
2834;J1928+1839g;0.442300;70.00;
2835;J1928+1852g;1.261336;291.60;
2836;J1928+1902g;172.413793;28.90;
2837;J1928+1915g;1.026325;201.00;
2838;J1928+1923;1.223496;476.40;
2839;J1928+28;0.940734;79.20;
2840;J1929+00;0.856971;42.95;
2841;J1929+1357;1.153500;150.70;
2842;J1929+16;1.887929;12.00;
2843;J1929+1615g;22.421525;308.70;
2844;J1929+1731g;0.250288;431.10;
2845;J1929+1844;0.819356;112.00;
