#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
524;J1048-5832;8.082418;128.68;
525;J1048-5838;0.812147;70.70;
526;J1049-5833;0.454066;446.80;
527;J1050-5953;0.154989;*;
528;J1052-5954;5.537359;491.90;
529;J1052-6348;2.605317;167.50;
530;J1054-5943;2.882601;330.70;
531;J1054-5946;4.379736;253.90;
532;J1054-6452;0.543477;234.00;
533;J1055-6022;1.055344;590.00;
534;J1055-6028;10.034032;636.50;
535;J1055-6236;2.228981;149.70;
536;J1055-6905;0.342536;142.80;
537;J1056-5709;1.479111;436.50;
538;J1056-6258;2.367141;320.62;
539;J1056-7117;38.008828;93.04;
540;J1057-4754;1.591581;60.00;
541;J1057-5226;5.073189;29.69;
542;J1057-5851;1.611954;*;
543;J1057-7914;0.742168;51.00;
544;J1058-5957;1.622665;334.00;
545;J1059-5742;0.843880;108.70;
546;J1059+6459;0.275393;19.30;
547;J1101-6101;15.923547;*;
548;J1101-6424;195.722565;207.00;
549;J1102+02;246.913580;27.30;
550;J1103-5403;294.749655;103.92;
551;J1103-6025;2.521516;275.90;
552;J1104-6103;3.559919;78.51;
553;J1105-4353;2.848095;45.00;
554;J1105-6037;5.129829;*;
555;J1105-6107;15.822251;271.24;
556;J1106-6438;0.367927;203.00;
557;J1107-5907;3.956114;40.75;
558;J1107-5947;0.659400;158.40;
559;J1107-6143;0.555742;406.00;
560;J1110-5637;1.791298;262.56;
561;J1110+58;1.260481;26.20;
562;J1111-6039;9.374707;*;
563;J1112-6103;15.393650;595.69;
564;J1112-6613;2.992096;249.30;
565;J1112-6926;1.218787;148.40;
566;J1114-6100;1.135256;676.70;
567;J1115-0956;0.762838;16.10;
568;J1115+5030;0.603704;9.19;
569;J1115-6052;3.849420;226.92;
570;J1116-2444;1.152142;29.60;
571;J1116-4122;1.060268;40.53;
572;J1117-6154;1.979817;493.60;
573;J1117-6447;0.865597;303.00;
574;J1119-6127;2.451203;704.80;
575;J1119-7936;0.438482;27.40;
576;J1120-24;2.012072;9.81;
577;J1120-3618;180.180180;45.10;
578;J1121-5444;1.866415;204.70;
579;J1122-3546;128.205128;39.49;
580;J1123-4844;4.084325;92.92;
581;J1123-6102;1.561930;439.40;
582;J1123-6259;3.684092;223.26;
583;J1123-6651;4.292280;111.20;
584;J1124-3653;414.937759;44.90;
585;J1124-5638;5.389093;289.50;
586;J1124-5916;7.381335;329.20;
587;J1124-6421;2.087253;298.00;
588;J1125-5825;322.350433;124.79;
589;J1125-6014;380.173094;52.93;
590;J1125+7819;238.004053;12.03;
591;J1126-2737;2.792040;26.86;
592;J1126-38;1.126697;46.00;
593;J1126-6054;4.932501;280.27;
594;J1126-6942;1.725868;55.33;
595;J1128-6219;1.938046;675.00;
596;J1129-53;0.940840;77.00;
597;J1130-5826;6.160538;261.10;
598;J1130-5925;1.468464;264.40;
599;J1130-6807;3.900874;148.73;
600;J1132+25;0.998004;24.19;
601;J1132-4700;3.070939;123.00;
602;J1132-5627;5.708862;305.70;
603;J1133-6250;0.977636;567.80;
604;J1135-49;*;114.00;
605;J1135-6055;8.700000;*;
606;J1136+1551;0.841812;4.84;
607;J1136-5525;2.741880;85.11;
608;J1136-6527;0.840824;164.10;
609;J1137-6700;1.797863;228.04;
610;J1137+7528;397.987396;29.17;
611;J1138-6207;8.506020;518.86;
612;J1139-6247;8.300000;*;
613;J1141-3107;1.857245;30.77;
614;J1141-3322;3.430911;46.45;
615;J1141-6545;2.538723;116.08;
616;J1142+0119;197.032753;19.20;
617;J1142-6230;1.790884;343.80;
618;J1143-5158;1.480065;159.03;
619;J1143-5536;1.459090;185.00;
620;J1144-6146;1.012368;78.70;
621;J1144-6217;1.175551;284.70;
